names,7/7/23
鋆晟狮王套利6号,1.104
鋆晟狮王套利,1.2233
白鲸海德债券精选1号,1.8602
日斗牵牛价值一号,1.15
恒邦科技先锋,2.907
信安成长一号,5.6715
易微投资易安1号,0.9965
文多文睿,3.0829
文多逆向,2.853
文多稳健一期,4.2297
平安信托慎知6号,1.0401
平安信托慎知20号,1.0665
慎知1号尊享A期,1.1491
睿郡承非郡享1号,1.077
合远智选雨鸿,0.8875
外贸信托-勤辰创赢成长1号2期,--
国投泰康信托-名匠仁桥1号,1.0784
中信资本中国价值成长,1.9147
华夏未来泽时进取12号,1.876
中信资本中国优质企业逆向策略1期,1.2484
中信信托-睿享增利TOF,1.1903
睿信稳健配置TOF,1.4055
中信信托清和泉信盈7期金融投资,--
保银多空稳健1号A,2.111
深国投-林园证券投资,8.3089
林园投资205号,1.004
中信信托锐进41期兴聚投资,2.2473
本利达二号,1.1844
观富价值一号,1.769
汐泰锐宸2号,--
国投泰康信托-丰溋进取1号(TOF),0.8554
国投泰康信托-丰溋稳健1号TOF,0.9912
国投泰康信托-丰溋平衡2号(TOF),0.9317
国投泰康信托-丰溋平衡1号TOF,0.9658
禾永尊享十号,1.376
时田丰二期,1.5039
辛巴达母基金,4.1309
风雪悦沐2号,1.675
时田丰十一期,1.469
时田丰十期稳健增值,1.7245
迎水龙凤呈祥3号,7.076
外贸信托-拾贝优选1期,1.1541
明河优质企业,4.401
睿郡5号,2.507
仙人掌远航五号,1.0505
中欧瑞博成长策略一期1号,--
万柏强债6号,3.71
鼎诺精选8号,4.604
合治倍熠一号,--
中信资本中国价值回报,1.8956
遵道资产-学院明星7号医疗,1.1802
卓识伟业,2.1344
磐泽扬帆稳健,2.616
珠池全天候对冲母基金1号,1.4376
多打粮磬晟,1.1486
启晟1号,--
拙一金选专精特新,0.8974
佳岳-实投1号,2.3465
平石U3期权对冲,1.5631
山信一号FOF,1.0023
盈诚兆丰1号,1.1926
洪运瑞恒泰和FOF,1.059
拙一金岩1号,1.058
仙人掌盈沣远航一号,8.557
岁寒知松柏1号A类份额,3.7232
佳岳天雅一号FOF,--
佳岳合一FOF,--
鑫疆九颂3号,0.7453
中阅产业主题3号,--
山楂树一期,4.678
靖奇金牛思锐,--
霖海远图2期,1.0914
中安汇富-莲花山宏观对冲3号,6.889
明睿恒毅宏观对冲,0.9
蜂起管理期货一号,2.4593
风起全天候进取一号,0.8024
半夏宏观对冲,3.219
乐瑞宏观配置,5.1319
凯丰宏观策略9号证券投资,2.784
展弘多策略10号,1.2159
细水FOF,1.3943
珠池量化稳健投资母基金1号,1.537
华软新动力稳进FOF一号,2.283
康德一号,1.9559
弘酬开元,1.586
新纪元-向日葵多策略1期1号,1.4975
霖海远图1期,1.281
拙一金选医药创新,0.853
拙一金策1号,1.001
中舍钱江一号CTA,1.0151
洮利11号2期,--
鲸睿CTA1号,1.3131
赤骥德明二号精选,0.986
赤骥德明一号,0.9465
顺时燧石7号,0.845
SAP智龙智昇4号,0.9031
双隆-隆富3号B类,2.0049
瑞智无忧共赢9号,1.0188
瑞智进取共赢5号,1.1088
宽投量化三号,--
鲲腾量化复合1号,0.868
元三号量化,2.4636
与取华山1号,2.0426
翼品致远3号CTA,--
景上源1号,1.0385
艮岳枫木1号,1.18
众壹进取套利1号,1.3917
千象3期,2.1153
阳泽泽丰另类量化1号,1.09
白鹭量化CTA一号,--
弘源量化1号,1.753
明得浩伦CTA二号,1.1027
蓝色天际-宽宏1号,2.722
固禾翡翠基金,--
会世元丰CTA1号,1.5495
华澄二号,1.3763
蒙玺纯达二期,1.398
茂源资本经典CTA-2号,1.6084
君拙倚天八号,--
盛冠达CTA基本面进取1号,0.9044
宽德卓越,2.439
博普CTA趋势1号A,4.835
明睿聚宝盆主观择时CTA策略,1.2662
佑维CTA进取三号,1.116
佑维CTA进取二号,2.391
黑翼策略精选1号,2.3084
黑翼CTA二号,2.609
均成CTA20号,0.897
均成CTA1号,5.193
洮利智选2号,1.0153
泰舜昭阳掘金1号,2.079
合晟同晖7号,1.4918
合晟同晖1号,2.174
